year,level_1,level_2,value
2015,Total,"Total",3530.5
2015,English,"Total",1303
2015,Mandarin,"Total",1231.9
2015,Chinese Dialects,"Total",430.3
2015,Malay,"Total",378.7
2015,Tamil,"Total",117.1
2015,Other Indian Languages,"Total",37.3
2015,Others,"Total",32.4
