year,level_1,level_2,level_3,value
2015,Tamil,Total,Choa Chu Kang,4.7
2015,Tamil,Total,Clementi,1.9
2015,Tamil,Total,Geylang,2.4
2015,Tamil,Total,Hougang,4.7
2015,Tamil,Total,Jurong East,5.3
2015,Tamil,Total,Jurong West,15.8
2015,Tamil,Total,Kallang,5.5
2015,Tamil,Total,Marine Parade,0.6
2015,Tamil,Total,Novena,0.6
2015,Tamil,Total,Outram,0.2
2015,Tamil,Total,Pasir Ris,2
2015,Tamil,Total,Punggol,2.1
2015,Tamil,Total,Queenstown,3.4
2015,Tamil,Total,Sembawang,2.3
2015,Tamil,Total,Sengkang,8
2015,Tamil,Total,Serangoon,3.2
2015,Tamil,Total,Tampines,4.8
2015,Tamil,Total,Tanglin,0
2015,Tamil,Total,Toa Payoh,4.2
2015,Tamil,Total,Woodlands,9.3
2015,Tamil,Total,Yishun,7.7
2015,Tamil,Total,Others,1.9
2015,Other Indian Languages,Total,Ang Mo Kio,0.6
2015,Other Indian Languages,Total,Bedok,2.4
2015,Other Indian Languages,Total,Bishan,0.5
2015,Other Indian Languages,Total,Bukit Batok,1.2
2015,Other Indian Languages,Total,Bukit Merah,1.3
2015,Other Indian Languages,Total,Bukit Panjang,0.5
2015,Other Indian Languages,Total,Bukit Timah,0.2
2015,Other Indian Languages,Total,Choa Chu Kang,2.8
2015,Other Indian Languages,Total,Clementi,0.3
2015,Other Indian Languages,Total,Geylang,1.5
2015,Other Indian Languages,Total,Hougang,1.7
2015,Other Indian Languages,Total,Jurong East,0.7
2015,Other Indian Languages,Total,Jurong West,3.2
2015,Other Indian Languages,Total,Kallang,2.1
2015,Other Indian Languages,Total,Marine Parade,0.9
2015,Other Indian Languages,Total,Novena,0.3
2015,Other Indian Languages,Total,Outram,0
2015,Other Indian Languages,Total,Pasir Ris,0.5
2015,Other Indian Languages,Total,Punggol,2.3
2015,Other Indian Languages,Total,Queenstown,0.9
2015,Other Indian Languages,Total,Sembawang,0.6
2015,Other Indian Languages,Total,Sengkang,2
2015,Other Indian Languages,Total,Serangoon,1.5
2015,Other Indian Languages,Total,Tampines,2.8
2015,Other Indian Languages,Total,Tanglin,0.3
2015,Other Indian Languages,Total,Toa Payoh,0.7
2015,Other Indian Languages,Total,Woodlands,2.7
2015,Other Indian Languages,Total,Yishun,2
2015,Other Indian Languages,Total,Others,0.7
2015,Others,Total,Ang Mo Kio,1.3
2015,Others,Total,Bedok,2.4
2015,Others,Total,Bishan,0.5
2015,Others,Total,Bukit Batok,1.4
2015,Others,Total,Bukit Merah,3.1
2015,Others,Total,Bukit Panjang,0.8
2015,Others,Total,Bukit Timah,1.1
2015,Others,Total,Choa Chu Kang,2.4
2015,Others,Total,Clementi,1.7
2015,Others,Total,Geylang,0.6
2015,Others,Total,Hougang,0.3
2015,Others,Total,Jurong East,0.7
2015,Others,Total,Jurong West,3.5
2015,Others,Total,Kallang,0.8
2015,Others,Total,Marine Parade,0.1
2015,Others,Total,Novena,0.2
2015,Others,Total,Outram,0.1
2015,Others,Total,Pasir Ris,0.8
2015,Others,Total,Punggol,0.5
2015,Others,Total,Queenstown,0.7
2015,Others,Total,Sembawang,0.6
2015,Others,Total,Sengkang,1
2015,Others,Total,Serangoon,0.5
2015,Others,Total,Tampines,1.9
2015,Others,Total,Tanglin,0.4
2015,Others,Total,Toa Payoh,0.8
2015,Others,Total,Woodlands,1.5
2015,Others,Total,Yishun,1
2015,Others,Total,Others,1.6
