year,level_1,level_2,value
2015,Total,"Total",2151.9
2015,"Legislators, Senior Officials & Managers","Total",346.8
2015,Professionals,"Total",394.1
2015,Associate Professionals & Technicians,"Total",429.5
2015,Clerical Support Workers,"Total",264.7
2015,Service & Sales Workers,"Total",256.1
2015,Craftsmen & Related Trades Workers,"Total",83.9
2015,Plant & Machine Operators & Assemblers,"Total",146.3
2015,"Cleaners, Labourers & Related Workers","Total",160.3
2015,Others,"Total",70.2
