year,level_1,level_2,level_3,level_4,value
2015,Single,Males,Total,Geylang,15.9
2015,Single,Males,Total,Hougang,32.1
2015,Single,Males,Total,Jurong East,12.3
2015,Single,Males,Total,Jurong West,38.1
2015,Single,Males,Total,Kallang,13.9
2015,Single,Males,Total,Marine Parade,5.7
2015,Single,Males,Total,Novena,6.6
2015,Single,Males,Total,Outram,2.7
2015,Single,Males,Total,Pasir Ris,20.4
2015,Single,Males,Total,Punggol,7.7
2015,Single,Males,Total,Queenstown,13.9
2015,Single,Males,Total,Sembawang,10.1
2015,Single,Males,Total,Sengkang,22.4
2015,Single,Males,Total,Serangoon,19.2
2015,Single,Males,Total,Tampines,41.5
2015,Single,Males,Total,Tanglin,1.4
2015,Single,Males,Total,Toa Payoh,18.3
2015,Single,Males,Total,Woodlands,33.3
2015,Single,Males,Total,Yishun,27.8
2015,Single,Males,Total,Others,4.9
2015,Single,Females,Total,Ang Mo Kio,24.5
2015,Single,Females,Total,Bedok,35.5
2015,Single,Females,Total,Bishan,12.9
2015,Single,Females,Total,Bukit Batok,20.4
2015,Single,Females,Total,Bukit Merah,20.4
2015,Single,Females,Total,Bukit Panjang,17.1
2015,Single,Females,Total,Bukit Timah,9.5
2015,Single,Females,Total,Choa Chu Kang,25.1
2015,Single,Females,Total,Clementi,11.1
2015,Single,Females,Total,Geylang,14
2015,Single,Females,Total,Hougang,30.6
2015,Single,Females,Total,Jurong East,10.1
2015,Single,Females,Total,Jurong West,33.4
2015,Single,Females,Total,Kallang,14
2015,Single,Females,Total,Marine Parade,5.8
2015,Single,Females,Total,Novena,5.6
2015,Single,Females,Total,Outram,2.4
2015,Single,Females,Total,Pasir Ris,19.8
2015,Single,Females,Total,Punggol,7.5
2015,Single,Females,Total,Queenstown,13.5
2015,Single,Females,Total,Sembawang,8.4
2015,Single,Females,Total,Sengkang,21.9
2015,Single,Females,Total,Serangoon,19.6
2015,Single,Females,Total,Tampines,37.1
2015,Single,Females,Total,Tanglin,2.2
2015,Single,Females,Total,Toa Payoh,18.8
2015,Single,Females,Total,Woodlands,30.4
2015,Single,Females,Total,Yishun,25
2015,Single,Females,Total,Others,4.6
2015,Married,Total,Total,Ang Mo Kio,87.9
2015,Married,Total,Total,Bedok,135.6
2015,Married,Total,Total,Bishan,44.2
2015,Married,Total,Total,Bukit Batok,68.5
2015,Married,Total,Total,Bukit Merah,71.9
2015,Married,Total,Total,Bukit Panjang,75.4
2015,Married,Total,Total,Bukit Timah,39.5
2015,Married,Total,Total,Choa Chu Kang,89.5
2015,Married,Total,Total,Clementi,43.1
2015,Married,Total,Total,Geylang,51.1
2015,Married,Total,Total,Hougang,106.3
2015,Married,Total,Total,Jurong East,41.7
2015,Married,Total,Total,Jurong West,145.9
2015,Married,Total,Total,Kallang,46.5
2015,Married,Total,Total,Marine Parade,20.2
2015,Married,Total,Total,Novena,22.1
2015,Married,Total,Total,Outram,10
2015,Married,Total,Total,Pasir Ris,71.3
2015,Married,Total,Total,Punggol,61.2
2015,Married,Total,Total,Queenstown,43.6
2015,Married,Total,Total,Sembawang,41.9
2015,Married,Total,Total,Sengkang,122.1
2015,Married,Total,Total,Serangoon,60.6
2015,Married,Total,Total,Tampines,133
2015,Married,Total,Total,Tanglin,9.6
