Postal Code,Distance to MRT
829169,500.35038535348275
829168,1935.4332420617664
828870,867.0988199706479
828869,718.8648365125412
828868,0.0
828867,1285.347594006913
828866,1309.6344207357301
828865,66.71695846138562
828848,1411.9524307927302
828845,302.39981348699337
828839,926.6543822760954
828836,2121.7726276301614
828835,2122.405097481993
828825,2109.632217766053
828819,1417.7655847120786
828815,1784.7085614747116
828814,455.892616950466
828802,749.7691027920984
828772,593.8207239778719
828761,200.1508753914732
828716,875.7012893316802
828694,749.7691027920984
828674,749.7691027920984
828670,1206.6785244121265
828654,721.5872402186951
824622,1034.105193654818
824211,522.67481520992
823308,505.35535224481976
823273,288.67252772211845
823266,491.12877490465155
821312,714.8394436568893
820671,1106.1020476789388
820639,1647.3594807500372
820612,803.1388759461465
820301,439.772506873799
820261,749.7691027920984
820198,891.1829120079402
820168,1682.4289699450635
820108,1183.0197185298937
819831,2527.445843967997
819830,2293.2505520555537
819829,2522.8075331171112
819827,2950.8177817954656
819664,213.56188599959273
819663,513.9411924721887
819662,2266.193215336278
819659,1934.2207621192092
819648,1452.6813915410128
819645,1876.994505720712
819643,571.6180057336686
819642,572.2530634219427
819478,1874.8788158359412
819461,1924.5280186073294
819454,1808.9637441869847
809695,956.4405118733973
809037,2221.1703068912916
809033,2233.265985989364
809030,2203.5224872188796
808444,2292.11889550249
808443,2292.11889550249
808440,2275.2664247521975
808433,2239.138896193583
807011,2671.4371740790248
805946,1379.5862642372292
805909,1688.3529679131457
805908,1816.0729665649962
799505,2577.4929533672025
799501,2574.8292770300786
799495,2569.637994437188
799488,2564.6290538833896
799487,2572.992241917139
799485,2564.6290538833896
799481,2570.0352596810085
799472,2567.123034990067
799471,2568.3323417181614
799470,2564.255722095088
799468,2564.255722095088
799467,2566.0446570533427
799466,2561.433471821189
799461,2561.6079700450896
799459,2559.4592045787804
799457,2559.4592045787804
799455,2557.3569829717567
799449,2553.2926251160657
798485,3408.606552846267
798368,3324.24861310285
798273,2774.7584383128274
797702,1925.2935228775484
797701,2317.407992568354
797654,3509.4533014145127
797653,2156.803282229243
797649,2671.4371740790248
797636,2226.020916499864
797601,2671.4371740790248
797563,3760.0113222789214
797455,2671.4371740790248
792408,2064.853956328475
791447,2546.0009055889855
791433,2028.5332866528706
791403,2370.191431375143
790437,2169.4855097182835
789398,1856.4154299034599
787625,2191.306134849353
787572,1869.0571756470067
787557,1946.6147297602051
787502,2025.2845735198496
787431,2689.097984720647
787136,2596.2282189579396
787124,2486.046638442385
787122,2575.2356774879863
787121,2585.4702714223213
787118,2595.902641745902
787114,2626.193753221584
787113,2615.3149917004075
787112,2637.262033536891
787111,2646.17821875309
787110,2737.593657637352
787103,2370.7232918223003
779384,2981.814610231456
779086,2319.1517769953766
779085,2335.52420336302
779084,2243.5863449992407
779081,2326.997549808948
779079,2326.997549808948
779075,2326.997549808948
769959,899.9737662619202
769689,918.5069174887612
769681,955.8686730536515
769679,934.1183831244928
769676,944.5334123214182
769675,932.4016161342503
769674,951.5161941786821
769669,938.1577381676457
769665,952.8043018285882
769198,614.0424106907583
769162,1518.6837133866225
769130,676.9080007466358
769098,119.75546240845192
769093,0.0
769092,0.0
769028,749.9961424815816
769027,754.8677952093907
769026,1038.3699407656716
768960,1498.8580541142649
768959,1148.6826937076999
768929,1707.7859414912882
768928,974.1574694420975
768927,1030.275105489823
768926,1148.7549929775937
768925,1294.3011514259647
768924,1505.7210905978613
768923,1452.6411231754178
768893,402.9679761621857
768888,572.2622187301059
768857,1052.062464395547
768830,615.0113369734038
768828,622.8949713237139
768796,479.6152081998318
768794,228.90989520739484
768774,1679.8825299674988
768743,1411.266067227061
768734,1577.5839771258732
768692,1296.9768476437798
768689,305.30290035753114
768687,250.79422974306155
768680,1179.0410156800656
768679,515.1007636963577
768677,626.0761669243673
768675,829.7028006768076
768643,538.8995096276201
768642,458.33405881361057
768611,549.2149288188742
768610,518.8552171283749
768578,919.0661819070098
768548,542.1099559719387
768547,656.232842521778
768516,661.5106324836973
768515,534.7471899044806
768454,626.5921422528149
768442,1528.063074286774
768441,1224.2855700214789
768163,1282.004932804841
768160,1180.9113669187625
768159,1175.772540607365
768116,1734.2526920041469
768090,1262.6019166637332
768089,1227.6899424350045
768039,1227.6899424350045
768024,1227.6899424350045
763333,1232.2951313529002
761795,124.31210775359351
761701,775.0242806786206
761101,736.1111007612787
760935,457.49637546548297
760928,354.54307541791854
760925,351.5553619415773
760848,1227.6899424350045
760846,278.5880354956548
760807,124.28929732777837
760780,261.718155319849
760769,611.633997601235
760761,448.2191643010081
760759,413.7849702389489
760748,220.67646204184243
760747,215.8559237778957
760744,124.28227876465843
760743,165.27497428045308
760732,534.6112911583973
760717,850.2627722820697
760664,1000.3441112166385
760661,1010.707262075866
760654,856.1743096286316
760645,831.7248877919387
760641,732.2004101972528
760632,809.6506671447203
760630,583.2536403363496
760618,344.79124297931907
760605,646.3777096519954
760504,1227.6899424350045
760431,681.751350715161
760419,1507.9716670314658
760418,1453.3720816446921
760417,1373.6548901573008
760414,1370.7651089834535
760413,1321.185454518774
760348,931.7261732420717
760317,966.6599703881765
760293,900.9066788909021
760292,879.7547846565473
760291,804.6762426244192
760285,1258.8432352207062
760261,823.4356061535767
760256,771.0529251201564
760239,723.4185955528228
760236,686.1728056177105
760235,690.7772196738372
760233,656.6632694646083
760174,966.5184696923169
760171,1034.7628799072818
760156,263.58700511468993
760123,491.4696541122611
760110,798.6739597013234
760105,829.6407022352747
760103,762.8301744161364
760102,687.1345317833732
760101,852.104600952722
759956,1426.7446233461405
759930,2262.179028170671
759908,2546.264759498275
759907,2567.760176948691
759837,2474.1726109537253
759775,0.0
759774,1093.8132865193363
759274,965.4689674972843
759272,969.9442712597637
759269,965.4689674972843
759266,966.8057164129341
759263,972.4764941470121
759057,2838.3653977855042
758966,954.9166227309902
758964,945.0902802371618
758954,900.6810969578271
758948,901.9773028343532
758692,664.4698877539399
758504,1571.333409529074
758503,1557.2710131494073
758501,1546.721887842916
758495,1504.6825013101736
758459,1002.9888614239568
758458,1066.9622956897315
758455,1110.2882021567484
758454,1090.8711525146325
758452,1183.8166848815179
758451,1125.65719590102
758450,1159.7373030901852
758404,948.063514818917
758401,950.1479284326393
758396,955.8565982732183
758382,1027.6408472810704
758356,1104.6213494926074
758353,1122.9870618594277
758352,1700.1874663081635
758312,2755.5791059418184
758297,1908.8029946087145
758273,2210.60929843883
758265,1890.094058596358
758237,2197.441080510618
758222,2397.8347981812103
758214,2212.779040244123
758171,1793.5547013983862
758168,2025.7005460332027
758154,2004.031146951012
758151,1957.0307086265645
758133,2804.414630603011
758114,2745.017518520843
758103,2683.108427498198
758099,1864.7765340422527
758069,1880.4420697686323
758057,1851.591233951185
758032,2064.939887047639
757870,1352.6534011388715
757727,1566.3284366360022
757718,1648.9712143810775
757716,1706.2070111281064
757715,481.7288404182054
757714,432.39296789777154
757713,95.63326863412921
757705,1011.4712205663529
757704,505.3516867014384
757702,463.8922501330056
757699,723.9428191950061
757695,1697.1664434585643
757632,500.5006309935749
757622,1125.808741697923
757527,122.31443305778974
757521,559.174031834478
757516,1227.6899424350045
757515,1416.896870515635
757512,1596.578249779917
757506,1494.9729292645545
757447,1188.3317923850925
757445,2148.322578966552
757443,1312.1001338698827
757438,1526.0364581641832
757437,1652.9846569298327
757432,1940.0044108305035
757388,1224.5477605395145
757387,1522.730132117267
757322,1612.547260996842
757178,1234.429297033844
757177,1248.5666476232018
757087,856.2829782554057
757027,1276.7589103873827
751501,330.0141013126879
751467,696.462140084239
751406,433.63965482868747
751334,376.15216638816656
751313,545.29463946075
750590,804.4376685923464
750511,522.6161510459397
750505,348.88666916435346
750482,799.0632180133745
750463,1227.6899424350045
750335,343.36270237312607
739981,1058.4482867332335
739537,1172.1112140881644
739522,830.4201697820413
739521,1619.5036404062985
739506,1628.601457806397
739505,1592.3642038133423
739484,1394.1336118258646
739453,3453.0951838332594
739276,723.4174241125078
739257,465.6488110729802
739193,545.2947956593152
739151,1467.9413922207953
739148,1300.9806411602183
739144,1124.2090851921332
739111,656.0500660653689
739110,485.4341712671482
739109,612.466944113255
739087,852.7620695753603
739067,389.18223748683494
739066,640.1022719656991
739065,904.8339943258168
739063,592.0324890061767
739062,418.4941608454625
739044,0.0
739009,638.0588573680677
738990,1308.0979518030765
738972,1759.129010434189
738969,1217.4597850168734
738967,1093.8138186641727
738964,1398.4379216663096
738962,769.2554911124864
738960,1114.048112150472
738954,976.4140957394992
738931,1019.293360825143
738927,204.99632240644877
738908,791.230173150575
738907,331.72057657927513
738853,634.489369734113
738799,678.282205873643
738738,1106.0631723208128
738734,904.8276993333357
738732,1026.6819977167859
738728,1162.3106731158446
738727,1192.5331916000594
738725,1220.2291274132476
738702,0.0
738600,524.3624980132762
738579,219.01732728113217
738547,789.4839818483686
738526,459.6394092571562
738525,730.9719102942848
738524,568.2456597610482
738489,811.3969891138382
738452,1354.0203138480085
738406,1046.6658505345615
738344,0.0
738343,0.0
738340,1110.7383885837862
738322,1140.4041585357213
738321,1083.7434370245926
738283,997.2675845257478
738252,1610.144246392495
738240,712.3581203869796
738239,473.45660219349327
738208,0.0
738205,850.8117334298328
738203,1536.9347609702281
738099,0.0
738079,625.0486534895596
738078,596.0048677304393
737942,418.5916941940574
737924,1382.5050974834398
737916,585.0120743909378
737913,1248.3652881436544
737911,1060.7285120746744
737909,731.2651183413545
737902,796.0236062674139
737888,919.2794163412516
737883,496.8150054638194
737863,348.2638298029778
737855,610.5265138236477
737854,723.9447685171887
737853,758.8916237209041
737803,700.6162300528996
737778,969.3917158892488
737758,567.472279416903
737735,0.0
737723,0.0
732892,322.36394520625646
731678,11.119594392952253
731630,594.4478256641701
731570,812.8354556890699
731515,512.9445030745085
731371,402.7636187284276
731354,419.1439773612726
731306,349.15639589372455
731005,912.7925209625237
731004,0.0
731002,984.7559661314043
731001,1035.2535179880913
730900,715.7866302805905
730888,720.8723536137064
730883,872.7050611843375
730834,734.0686680504634
730806,475.00648163733916
730780,671.7768368661467
730768,623.5567421258671
730688,776.3478651622742
