year,level_1,level_2,value
2015,Total,"Total",2948.5
2015,No Qualification,"Total",368.1
2015,Primary,"Total",203.4
2015,Lower Secondary,"Total",236.5
2015,Secondary,"Total",544.8
2015,Post-Secondary (Non-Tertiary),"Total",304
2015,Polytechnic,"Total",268.1
2015,Professional Qualification and Other Diploma,"Total",215.7
2015,University,"Total",807.9
